Datum,Tijd,Valutadatum,Product,ISIN,Omschrijving,FX,Mutatie,,Saldo,,Order Id
06-04-2021,13:50,06-04-2021,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Flatex Cash Sweep Transfer,,EUR,"1,01",EUR,"6,51",
06-04-2021,13:50,06-04-2021,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-1,01",EUR,"5,50",
02-04-2021,09:20,01-04-2021,,,Valuta Debitering,,EUR,"1,01",EUR,"6,51",
02-04-2021,09:20,01-04-2021,,,Valuta Debitering,"1,1789",USD,"-1,20",USD,"0,00",
02-04-2021,01:00,31-03-2021,,,Flatex Interest,,EUR,"-0,20",EUR,"5,50",
01-04-2021,13:57,31-03-2021,VANGUARD S&P500,IE00B3XXRP09,Dividend,,USD,"1,20",USD,"1,20",
30-03-2021,12:15,30-03-2021,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Flatex Cash Sweep Transfer,,EUR,"-1094,30",EUR,"5,70",
30-03-2021,12:15,30-03-2021,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"1094,30",EUR,"1100,00",
29-03-2021,12:31,29-03-2021,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Flatex Cash Sweep Transfer,,EUR,"-49,17",EUR,"5,70",
29-03-2021,12:31,29-03-2021,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"49,17",EUR,"54,87",
27-03-2021,16:40,26-03-2021,,,iDEAL Deposit,,EUR,"1100,00",EUR,"5,70",
27-03-2021,16:40,26-03-2021,,,Reservation iDEAL / Sofort Deposit,,EUR,"-1100,00",EUR,"-1094,30",
26-03-2021,09:42,26-03-2021,ISHARES MSCI WOR A,IE00B4L5Y983,"Koop 5 @ 64,76 EUR",,EUR,"-323,80",EUR,"5,70",927bc16c-6486-4cf6-9295-33b9af08bd35
