date,IE00B4L5Y983,IE00B4L5YC18,IE00B3XXRP09,IE00B14X4T88,IE00B0M62T89,IE00B0M62S72
2021-04-06,14.0,17.0,10.0,66.0,0.0,0.0
2021-04-05,14.0,17.0,10.0,66.0,0.0,0.0
2021-04-04,14.0,17.0,10.0,66.0,0.0,0.0
2021-04-03,14.0,17.0,10.0,66.0,0.0,0.0
2021-04-02,14.0,17.0,10.0,66.0,0.0,0.0
2021-04-01,14.0,17.0,10.0,66.0,0.0,0.0
2021-03-31,14.0,17.0,10.0,66.0,0.0,0.0
2021-03-30,14.0,17.0,10.0,66.0,0.0,0.0
2021-03-29,14.0,17.0,10.0,66.0,0.0,0.0
2021-03-28,14.0,17.0,10.0,66.0,0.0,0.0
2021-03-27,14.0,17.0,10.0,66.0,0.0,0.0
2021-03-26,14.0,17.0,10.0,66.0,0.0,0.0
2021-03-25,9.0,8.0,5.0,58.0,0.0,0.0
2021-03-24,9.0,8.0,5.0,58.0,0.0,0.0
2021-03-23,9.0,8.0,5.0,58.0,0.0,0.0
2021-03-22,9.0,8.0,5.0,58.0,0.0,0.0
2021-03-21,9.0,8.0,5.0,58.0,0.0,0.0
2021-03-20,9.0,8.0,5.0,58.0,0.0,0.0
2021-03-19,9.0,8.0,5.0,58.0,0.0,0.0
2021-03-18,9.0,8.0,5.0,58.0,0.0,0.0
2021-03-17,9.0,8.0,5.0,58.0,0.0,0.0
2021-03-16,9.0,8.0,5.0,58.0,0.0,0.0
2021-03-15,9.0,8.0,5.0,58.0,0.0,0.0
2021-03-14,9.0,8.0,5.0,58.0,0.0,0.0
2021-03-13,9.0,8.0,5.0,58.0,0.0,0.0
2021-03-12,9.0,8.0,5.0,58.0,0.0,0.0
2021-03-11,9.0,8.0,5.0,58.0,0.0,0.0
2021-03-10,9.0,8.0,5.0,58.0,0.0,0.0
2021-03-09,9.0,8.0,5.0,58.0,0.0,0.0
2021-03-08,9.0,8.0,5.0,58.0,0.0,0.0
2021-03-07,9.0,8.0,5.0,58.0,0.0,0.0
2021-03-06,9.0,8.0,5.0,58.0,0.0,0.0
2021-03-05,9.0,8.0,5.0,58.0,0.0,0.0
2021-03-04,9.0,8.0,5.0,58.0,0.0,0.0
2021-03-03,9.0,8.0,5.0,58.0,0.0,0.0
